site,year,month,value
ABP,2006,10,380.91
ABP,2006,11,381.02
ABP,2006,12,381.12
ABP,2007,1,381.23
ABP,2007,2,381.29
ABP,2007,3,381.2
ABP,2007,4,381.09
ABP,2007,5,381.36
ABP,2007,6,382.03
ABP,2007,7,382.47
ABP,2007,8,382.41
ABP,2007,9,382.56
ABP,2008,3,383.25
ABP,2008,4,382.86
ABP,2008,5,383.05
ABP,2008,6,384.03
ABP,2008,7,384.54
ABP,2008,8,384.41
ABP,2008,9,384.98
ABP,2008,10,385.69
ABP,2008,11,385.87
ABP,2008,12,385.79
ABP,2009,1,385.07
ABP,2009,2,385.49
ABP,2009,3,386.4
ABP,2009,4,385.42
ABP,2009,5,384.62
ABP,2009,6,385.39
ABP,2009,7,385.88
ABP,2009,8,386.28
ABP,2009,9,386.39
ABP,2009,10,386.37
ABP,2009,11,386.8
ABP,2009,12,387.01
